Запуск,Время выполнения (с),Оценка π
1,0.002329,3.13324
2,0.001877,3.13324
3,0.001929,3.13324
4,0.002443,3.13324
5,0.002018,3.13324
6,0.002335,3.13324
7,0.001907,3.13324
8,0.002409,3.13324
9,0.002336,3.13324
10,0.001901,3.13324
11,0.001894,3.13324
12,0.002027,3.13324
13,0.001965,3.13324
14,0.002244,3.13324
15,0.002643,3.13324
16,0.00233,3.13324
17,0.002035,3.13324
18,0.002164,3.13324
19,0.002266,3.13324
20,0.00192,3.13324
21,0.002099,3.13324
22,0.00203,3.13324
23,0.001929,3.13324
24,0.00191,3.13324
25,0.002322,3.13324
26,0.001844,3.13324
27,0.001916,3.13324
28,0.002096,3.13324
29,0.001907,3.13324
30,0.001893,3.13324
31,0.001986,3.13324
32,0.001945,3.13324
33,0.001952,3.13324
34,0.001912,3.13324
35,0.001908,3.13324
36,0.001919,3.13324
37,0.002015,3.13324
38,0.001925,3.13324
39,0.002095,3.13324
40,0.001954,3.13324
41,0.001817,3.13324
42,0.002115,3.13324
43,0.002064,3.13324
44,0.001914,3.13324
45,0.002072,3.13324
46,0.002118,3.13324
47,0.002086,3.13324
48,0.001968,3.13324
49,0.001921,3.13324
50,0.002017,3.13324
51,0.001886,3.13324
52,0.001857,3.13324
53,0.001968,3.13324
54,0.001898,3.13324
55,0.00186,3.13324
56,0.002465,3.13324
57,0.001925,3.13324
58,0.002052,3.13324
59,0.002234,3.13324
60,0.00197,3.13324
61,0.001918,3.13324
62,0.002496,3.13324
63,0.001917,3.13324
64,0.002031,3.13324
65,0.002049,3.13324
66,0.001867,3.13324
67,0.001948,3.13324
68,0.002094,3.13324
69,0.001888,3.13324
70,0.002236,3.13324
71,0.001996,3.13324
72,0.001868,3.13324
73,0.002039,3.13324
74,0.001998,3.13324
75,0.002015,3.13324
76,0.002563,3.13324
77,0.001911,3.13324
78,0.001961,3.13324
79,0.001992,3.13324
80,0.002205,3.13324
81,0.001966,3.13324
82,0.001929,3.13324
83,0.001938,3.13324
84,0.001851,3.13324
85,0.002129,3.13324
86,0.002017,3.13324
87,0.002068,3.13324
88,0.001835,3.13324
89,0.002001,3.13324
90,0.002039,3.13324
91,0.002108,3.13324
92,0.001961,3.13324
93,0.00219,3.13324
94,0.002254,3.13324
95,0.001987,3.13324
96,0.002024,3.13324
97,0.001901,3.13324
98,0.001828,3.13324
99,0.001996,3.13324
100,0.002029,3.13324
101,0.001975,3.13324
102,0.002512,3.13324
103,0.002041,3.13324
104,0.002051,3.13324
105,0.002234,3.13324
106,0.00222,3.13324
107,0.002054,3.13324
108,0.002339,3.13324
109,0.002217,3.13324
110,0.001942,3.13324
111,0.002452,3.13324
112,0.003377,3.13324
113,0.00199,3.13324
114,0.00183,3.13324
115,0.001852,3.13324
116,0.002029,3.13324
117,0.002414,3.13324
118,0.002047,3.13324
119,0.002091,3.13324
120,0.001906,3.13324
121,0.002044,3.13324
122,0.001921,3.13324
123,0.002583,3.13324
124,0.002143,3.13324
125,0.001917,3.13324
126,0.001904,3.13324
127,0.002016,3.13324
128,0.002197,3.13324
129,0.00187,3.13324
130,0.002004,3.13324
131,0.002043,3.13324
132,0.002202,3.13324
133,0.001984,3.13324
134,0.001979,3.13324
135,0.002045,3.13324
136,0.001993,3.13324
137,0.002073,3.13324
138,0.001948,3.13324
139,0.002014,3.13324
140,0.002086,3.13324
141,0.002072,3.13324
142,0.002061,3.13324
143,0.002085,3.13324
144,0.00205,3.13324
145,0.002062,3.13324
146,0.002077,3.13324
147,0.001939,3.13324
148,0.001896,3.13324
149,0.002003,3.13324
150,0.002011,3.13324
151,0.001983,3.13324
152,0.002089,3.13324
153,0.002028,3.13324
154,0.002562,3.13324
155,0.002537,3.13324
156,0.002045,3.13324
157,0.002033,3.13324
158,0.001954,3.13324
159,0.001995,3.13324
160,0.001992,3.13324
161,0.001877,3.13324
162,0.001875,3.13324
163,0.002059,3.13324
164,0.001981,3.13324
165,0.001946,3.13324
166,0.002036,3.13324
167,0.002111,3.13324
168,0.002522,3.13324
169,0.002136,3.13324
170,0.00229,3.13324
171,0.001972,3.13324
172,0.002299,3.13324
173,0.001993,3.13324
174,0.002006,3.13324
175,0.00195,3.13324
176,0.002105,3.13324
177,0.002892,3.13324
