Запуск,Время выполнения (с),Оценка π
266,0.00475,3.14548
267,0.002438,3.14548
268,0.001424,3.14548
269,0.002027,3.14548
270,0.002434,3.14548
271,0.00285,3.14548
272,0.002576,3.14548
273,0.003801,3.14548
274,0.008348,3.14548
275,0.002385,3.14548
276,0.002371,3.14548
277,0.002365,3.14548
278,0.002381,3.14548
279,0.002262,3.14548
280,0.002329,3.14548
281,0.002587,3.14548
282,0.010792,3.14548
283,0.002209,3.14548
284,0.002771,3.14548
285,0.006099,3.14548
286,0.003476,3.14548
287,0.001828,3.14548
288,0.00469,3.14548
289,0.014011,3.14548
290,0.001837,3.14548
291,0.002095,3.14548
292,0.002264,3.14548
293,0.004204,3.14548
294,0.001898,3.14548
295,0.004571,3.14548
296,0.001865,3.14548
297,0.002241,3.14548
298,0.00211,3.14548
299,0.001798,3.14548
300,0.003,3.14548
301,0.002934,3.14548
302,0.001907,3.14548
303,0.001388,3.14548
304,0.00696,3.14548
305,0.002465,3.14548
306,0.001617,3.14548
307,0.002724,3.14548
308,0.002484,3.14548
309,0.002075,3.14548
310,0.001799,3.14548
311,0.002311,3.14548
312,0.001999,3.14548
313,0.001543,3.14548
314,0.002479,3.14548
315,0.001724,3.14548
316,0.002533,3.14548
317,0.002009,3.14548
318,0.002295,3.14548
319,0.001782,3.14548
320,0.002181,3.14548
321,0.001669,3.14548
322,0.001937,3.14548
323,0.00205,3.14548
324,0.009573,3.14548
325,0.002172,3.14548
326,0.010197,3.14548
327,0.002632,3.14548
328,0.001846,3.14548
329,0.001857,3.14548
330,0.001569,3.14548
331,0.002301,3.14548
332,0.001869,3.14548
333,0.002493,3.14548
334,0.002512,3.14548
335,0.00958,3.14548
336,0.002582,3.14548
337,0.002373,3.14548
338,0.002151,3.14548
339,0.002759,3.14548
340,0.001645,3.14548
341,0.002591,3.14548
342,0.001836,3.14548
343,0.002435,3.14548
344,0.002046,3.14548
345,0.002305,3.14548
346,0.001713,3.14548
347,0.002632,3.14548
348,0.002424,3.14548
349,0.001788,3.14548
350,0.002041,3.14548
351,0.002438,3.14548
352,0.002951,3.14548
353,0.001779,3.14548
354,0.001945,3.14548
355,0.001859,3.14548
356,0.0036,3.14548
357,0.0022,3.14548
358,0.00207,3.14548
359,0.002574,3.14548
360,0.002425,3.14548
361,0.001749,3.14548
362,0.00251,3.14548
363,0.001647,3.14548
364,0.00248,3.14548
365,0.00179,3.14548
366,0.002182,3.14548
367,0.001835,3.14548
368,0.001876,3.14548
369,0.0023,3.14548
370,0.001828,3.14548
371,0.002059,3.14548
372,0.001602,3.14548
373,0.002398,3.14548
374,0.001559,3.14548
375,0.001898,3.14548
376,0.002194,3.14548
377,0.001777,3.14548
378,0.001399,3.14548
379,0.002453,3.14548
380,0.001785,3.14548
381,0.002254,3.14548
382,0.002464,3.14548
383,0.002146,3.14548
384,0.001579,3.14548
385,0.002656,3.14548
386,0.002236,3.14548
387,0.002124,3.14548
388,0.002415,3.14548
389,0.002268,3.14548
390,0.001849,3.14548
391,0.002308,3.14548
392,0.002503,3.14548
393,0.001945,3.14548
394,0.002619,3.14548
395,0.002616,3.14548
396,0.002188,3.14548
397,0.00213,3.14548
398,0.001874,3.14548
399,0.002283,3.14548
400,0.002494,3.14548
401,0.002251,3.14548
402,0.002867,3.14548
403,0.001912,3.14548
404,0.003824,3.14548
405,0.001863,3.14548
406,0.002634,3.14548
407,0.001921,3.14548
408,0.003549,3.14548
409,0.002271,3.14548
410,0.002006,3.14548
411,0.008696,3.14548
412,0.004182,3.14548
413,0.00194,3.14548
414,0.002567,3.14548
415,0.001941,3.14548
416,0.002114,3.14548
417,0.0018,3.14548
418,0.002427,3.14548
419,0.002497,3.14548
420,0.001994,3.14548
421,0.00208,3.14548
422,0.001985,3.14548
423,0.002592,3.14548
424,0.001834,3.14548
425,0.002204,3.14548
426,0.002127,3.14548
427,0.002278,3.14548
428,0.002321,3.14548
429,0.002038,3.14548
430,0.002207,3.14548
431,0.002109,3.14548
432,0.003826,3.14548
433,0.001795,3.14548
434,0.002093,3.14548
435,0.002493,3.14548
436,0.002362,3.14548
437,0.001734,3.14548
438,0.002397,3.14548
439,0.002299,3.14548
440,0.002466,3.14548
441,0.002253,3.14548
442,0.001723,3.14548
443,0.002345,3.14548
444,0.001845,3.14548
445,0.002207,3.14548
446,0.002441,3.14548
447,0.001835,3.14548
448,0.001916,3.14548
449,0.002497,3.14548
450,0.001716,3.14548
451,0.001806,3.14548
452,0.002498,3.14548
453,0.001935,3.14548
454,0.002259,3.14548
455,0.002037,3.14548
456,0.00231,3.14548
457,0.001902,3.14548
458,0.002302,3.14548
459,0.002151,3.14548
460,0.001872,3.14548
461,0.004182,3.14548
462,0.002052,3.14548
463,0.002282,3.14548
464,0.002127,3.14548
465,0.001841,3.14548
466,0.002218,3.14548
467,0.00241,3.14548
468,0.002122,3.14548
469,0.002517,3.14548
470,0.002116,3.14548
471,0.001603,3.14548
472,0.00203,3.14548
473,0.002096,3.14548
474,0.002253,3.14548
475,0.001808,3.14548
476,0.001891,3.14548
477,0.002148,3.14548
478,0.002492,3.14548
479,0.002546,3.14548
480,0.002523,3.14548
481,0.002627,3.14548
482,0.002188,3.14548
483,0.002224,3.14548
484,0.001984,3.14548
485,0.002298,3.14548
486,0.002034,3.14548
487,0.002273,3.14548
488,0.001843,3.14548
489,0.001874,3.14548
490,0.002075,3.14548
491,0.002105,3.14548
492,0.002476,3.14548
493,0.001789,3.14548
494,0.002381,3.14548
495,0.002131,3.14548
496,0.002114,3.14548
497,0.002242,3.14548
498,0.002254,3.14548
499,0.001926,3.14548
500,0.00227,3.14548
501,0.001783,3.14548
502,0.002342,3.14548
503,0.001905,3.14548
504,0.001633,3.14548
505,0.002445,3.14548
506,0.001861,3.14548
507,0.002205,3.14548
508,0.002757,3.14548
509,0.002325,3.14548
510,0.001899,3.14548
511,0.002739,3.14548
512,0.001798,3.14548
513,0.002325,3.14548
514,0.001887,3.14548
515,0.001838,3.14548
516,0.002114,3.14548
517,0.002116,3.14548
518,0.001894,3.14548
519,0.001597,3.14548
520,0.002311,3.14548
521,0.001874,3.14548
522,0.002421,3.14548
523,0.002326,3.14548
524,0.002468,3.14548
525,0.002033,3.14548
526,0.002515,3.14548
527,0.001831,3.14548
528,0.00226,3.14548
529,0.001858,3.14548
530,0.001899,3.14548
531,0.002046,3.14548
532,0.00205,3.14548
533,0.001811,3.14548
534,0.002574,3.14548
535,0.002184,3.14548
536,0.001421,3.14548
537,0.002134,3.14548
538,0.002605,3.14548
539,0.002312,3.14548
540,0.001864,3.14548
541,0.001583,3.14548
542,0.002075,3.14548
543,0.001785,3.14548
544,0.002315,3.14548
545,0.002171,3.14548
546,0.001634,3.14548
547,0.001785,3.14548
548,0.002113,3.14548
549,0.001776,3.14548
550,0.002218,3.14548
551,0.001932,3.14548
552,0.001869,3.14548
553,0.001847,3.14548
554,0.001745,3.14548
555,0.002156,3.14548
556,0.001816,3.14548
557,0.001782,3.14548
558,0.002143,3.14548
559,0.002102,3.14548
560,0.001404,3.14548
561,0.001633,3.14548
562,0.00176,3.14548
563,0.00244,3.14548
564,0.001962,3.14548
565,0.001783,3.14548
566,0.002003,3.14548
567,0.002576,3.14548
568,0.001585,3.14548
569,0.001555,3.14548
570,0.002262,3.14548
571,0.002305,3.14548
572,0.001922,3.14548
573,0.001832,3.14548
